target_deletion_rate,setting,L,drop_rule,threshold,actual_deletion_rate,target_cr_gap,semantic_mean,number_retention,date_retention,negation_retention
0.1,Span_min_L2_t0.9,2,min,0.9,0.10226675301916266,0.002266753019162654,0.9866771478401987,0.9892008639308856,0.9838709677419355,0.9166666666666666
0.2,Span_mean_L4_t0.7,4,mean,0.7,0.19900186673778053,0.0009981332622194805,0.9717108965205233,0.9168466522678186,0.9193548387096774,0.8039906103286385
0.3,Span_mean_L8_t0.5,8,mean,0.5,0.287210941369195,0.012789058630804984,0.9531335638185437,0.8293736501079914,0.8548387096774194,0.7053990610328639
