budget,lang,rate,gpt_after,acc,acc_hard,eff
~45 tok,en,0.5,45.00333333333333,0.88,0.7528089887640449,0.7159030603219528
~45 tok,ko,0.33,46.413333333333334,0.6433333333333333,0.384,0.1730769230769229
~71 tok,en,0.75,70.61,0.94,0.8651685393258427,0.9483460109676275
~71 tok,ko,0.5,71.36333333333333,0.76,0.536,0.5096153846153845
