lang,rate,gpt_after,gpt_before,xlmr_after,xlmr_before,n,chunked,empty,gpt_kept,xlmr_kept
en,0.33,29.63,96.14,36.49666666666667,110.15,300,0,0,0.3081963802787601,0.3313360568921168
en,0.5,45.00333333333333,96.14,54.99666666666667,110.15,300,0,0,0.46810207336523124,0.4992888485398699
en,0.75,70.61,96.14,83.56666666666666,110.15,300,0,0,0.7344497607655502,0.75866243001967
ko,0.33,46.413333333333334,141.46666666666667,40.54666666666667,128.69333333333333,300,0,0,0.3280867106503299,0.3150642353916287
ko,0.5,71.36333333333333,141.46666666666667,63.11,128.69333333333333,300,0,0,0.5044533459000942,0.49039059262329054
ko,0.75,106.67666666666666,141.46666666666667,94.80333333333333,128.69333333333333,300,0,0,0.754076343072573,0.7366607956900124
