lang,cond,denom,eff,unstable
en,r0.33,0.25812785388127857,0.2768441535467895,0
en,r0.5,0.25812785388127857,0.7159030603219528,0
en,r0.75,0.25812785388127857,0.9483460109676275,0
ko,r0.33,0.3466666666666667,0.1730769230769229,0
ko,r0.5,0.3466666666666667,0.5096153846153845,0
ko,r0.75,0.3466666666666667,0.8557692307692306,0
