lang,rate,n,ev_survival,gpt_kept,ev_minus_token
en,0.33,293,0.3231079266066518,0.3080109710500837,0.015096955556568092
en,0.5,293,0.5078641553795357,0.46735315361483476,0.040511001764700905
en,0.75,293,0.748746539957387,0.7334552508544292,0.01529128910295785
ko,0.33,293,0.3146695442843198,0.3278507502170496,-0.013181205932729811
ko,0.5,293,0.4790583038766193,0.5031753230952105,-0.024117019218591218
ko,0.75,293,0.7246951921001243,0.7533778257405418,-0.028682633640417454
